Idosoby;Płeć;Wiek;Wykształcenie;Zamieszkanie;Wierzący;Religia;Myślenie o śmierci przygnębia mnie (Lęk);Często zastanawiam się, w jakiej sytuacji byłbym skłonny odebrać sobie życie (Fascynacja);Perspektywa mojej śmierci jest dla mnie przerażająca (Lęk);Śmierć jest dla mnie czymś przykrym (Lęk);Lubię wyobrażać sobie, w jaki sposób umrę (Fascynacja);Gdy ktoś porusza w mojej obecności kwestię śmierci, szybko staram się zmienić temat rozmowy (Lęk);W chwilach ciężkiego przygnębienia zaczynam myśleć o swoim zgonie (Fascynacja);Myślę, że w miarę upływu lat będę się częściej modlić (Lęk);W naprawdę ciężkiej sytuacji mógłbym zdecydować się na samobójstwo (Fascynacja);Często myślę o śmierci (Fascynacja);Lubię wyobrażać sobie własny pogrzeb (Fascynacja);Często myślę, że chciałbym umrzeć (Fascynacja);Napełnia mnie przerażeniem, gdy umierają bliskie mi osoby (Lęk);Śmierć jest dla mnie fascynującą tajemnicą (Fascynacja);O śmierci myślę bez lęku (Lęk);Śmierć jest najgorszym nieszczęściem w życiu człowieka (Lęk);Nie lubię filmów, w których jeden z głównych bohaterów umiera (Lęk);Nieraz trudno oderwać mi się od myśli o śmierci (Fascynacja);Lubię poznawać różne rytuały i obrzędy towarzyszące śmierci (Fascynacja);Nieraz wyobrażam sobie, co będzie się ze mną działo po śmierci (Fascynacja);Lubię rozmyślać na tematy związane ze śmiercią (Fascynacja);Interesują mnie obrazy przedstawiające śmierć i umieranie (Fascynacja);Często rozmawiam z ludźmi na temat śmierci (Fascynacja);Koleżeński (Wspolnotowość);Wyrozumiały (Wspólnotowość);Pewny siebie (Sprawczość);Skuteczny (Sprawczość);Opiekuńczy (Wspólnotowość);Przyjazny (Wspólnotowość);Konsekwentny (Sprawczość);Skłonny do kompromisu (Wspólnotowość);Uczynny (Wspólnotowość);Ambitny (Sprawczość);Życzliwy (Wspólnotowość);Doceniający innych (Wspólnotowść);Energiczny (Sprawczość);Przedsiębiorczy (Sprawczość);Współczujący (Wspólnotowość);O silnej woli (Sprawczość);Sprawny (Sprawczość);O skłonnościach przywódczych (Sprawczość);Wspierający innych (Sprawczość);Pomocny (Wspólnotowość);Przekonujący (Sprawczość);Wybaczający (Wspólnotowość);Przebojowy (Sprawczość);Pomysłowy (Sprawczość);Rozumiejący innych (Wspólnotowość);Zaradny (Sprawczość);Poświęcający się dla innych (Wspólnotowość);Zdecydowany (Sprawczość);Aktywny (Sprawczość);Wrażliwy na innych (Wspólnotowość);Pomniejszam wagę swoich osiągnięć (Autodeprecjacja);Sprawiam wrażenie, że wiem więcej, niż to jest naprawdę (Autopromocja);Podkreślam własne zasługi (Autopromocja);Sprawiam wrażenie osoby zajętej ważnymi sprawami (Autopromocja);Wypadam gorzej od drugiej osoby, żeby jej nie sprawić przykrości (Autodeprecjacja); Sprawiam wrażenie osoby niepewnej siebie (Autodeprecjacja);Pewnych zadań podejmuję się dla wykazania, że coś potrafię (Autopromocja);Podkreślam własne umiejętności (Autopromocja);Unikam mówienia o swoich sukcesach (Autodeprecjacja);Gdy niepokoję się, że coś mi nie wyjdzie, opowiadam o tym innym (Autodeprecjacja);Staram się wypaść na osobę znającą się na rzeczy (Autopromocja);Mówię przepraszam, nawet kiedy tak naprawdę to nie moja wina (Autodeprecjacja);Podkreślam swoje wady (Autodeprecjacja);Opowiadam o tym, co mi się udało (Autopromocja);Sprawiam wrażenie osoby pewnej siebie (Autopromocja);Staram się nie wywyższać (Autodeprecjacja);Gdy coś mi dobrze pójdzie, staram się pokazać także swoje wady (Autodeprecjacja);Przyznaję się do własnej bezradności (Autodeprecjacja);Mówię o swoich zaletach (Autopromocja);Nawet gdy czegoś nie potrafię, zachowuję się, jakbym to umiał (Autopromocja);Sprawiam wrażenie osoby kompetentnej (Autopromocja);Zachowuję się bardziej bezradnie niż się czuję (Autodeprecjacja);Opowiadam o tym, co mi się nie udało (Autodeprecjacja);Nadrabiam miną, gdy coś idzie nie tak (Autopromocja);Z góry twierdzę, że nie dam sobie z czymś rady (Autodeprecjacja);Unikam tego, by za dobrze wypaść (Autodeprecjacja);Kiedy brak mi wiedzy na jakiś temat, nie daję tego po sobie poznać (Autopromocja);Mówię zdecydowanym tonem, nawet kiedy wcale nie mam pewności (Autopromocja);Kiedy dobrze wypadnę, przekonuję innych, że to przypadek (Autodeprecjacja);W dyskusji lubię pokazać, że się dobrze znam na rzeczy (Autopromocja);Lęk przed śmiercią;Fascynacja śmiercią;Osobowość sprawcza;Osobowość wspólnotowa;Autodeprecjacja;Autopromocja
83;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Nie;Zdecydowanie tak;Tak;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Raczej tak;Nie;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie nie;Nie;Zdecydowanie tak;Często;Nigdy;Czasami;Rzadko;Bardzo czesto;Rzadko;Rzadko;Rzadko;Bardzo czesto;Rzadko;Czasami;Bardzo czesto;Bardzo czesto;Czasami;Czasami;Bardzo czesto;Bardzo czesto;Często;Czasami;Rzadko;Czasami;Bardzo czesto;Bardzo czesto;Czasami;Bardzo czesto;Często;Czasami;Nigdy;Bardzo czesto;Nigdy;2.11111111111111;2.14285714285714;2.73333333333333;6.66666666666667;4.4;2.33333333333333
91;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Tak;Raczej tak;Raczej tak;Tak;Raczej tak;Tak;Nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Rzadko;Często;Często;Czasami;Nigdy;Rzadko;Często;Często;Nigdy;Bardzo czesto;Bardzo czesto;Rzadko;Rzadko;Bardzo czesto;Często;Czasami;Rzadko;Rzadko;Często;Często;Czasami;Rzadko;Często;Często;Rzadko;Nigdy;Często;Często;Nigdy;Często;1.88888888888889;2.35714285714286;3.73333333333333;4.86666666666667;2.13333333333333;4
99;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Raczej tak;Raczej tak;Tak;Raczej tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Bardzo czesto;Często;Czasami;Często;Rzadko;Czasami;Często;Często;Czasami;Często;Czasami;Czasami;Czasami;Często;Czasami;Czasami;Czasami;Często;Czasami;Czasami;Czasami;Czasami;Często;Czasami;Często;Czasami;Czasami;Rzadko;Czasami;Czasami;3.11111111111111;1.42857142857143;4.4;6.2;3.33333333333333;3.26666666666667
100;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Tak;Tak;Raczej tak;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Czasami;Rzadko;Czasami;Czasami;Nigdy;Czasami;Rzadko;Czasami;Rzadko;Nigdy;Nigdy;Czasami;Czasami;Czasami;Rzadko;Czasami;Czasami;Czasami;Rzadko;Nigdy;Czasami;Nigdy;Czasami;Rzadko;Rzadko;Nigdy;Nigdy;Nigdy;Nigdy;Nigdy;2.33333333333333;1.57142857142857;4.26666666666667;5.46666666666667;2.2;2
101;Mężczyzna;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Raczej tak;Zdecydowanie tak;Raczej nie;Zdecydowanie tak;Raczej tak;Zdecydowanie nie;Raczej tak;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Nie;Nie;Zdecydowanie tak;Tak;Raczej nie;Zdecydowanie nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Raczej nie;Tak;Nie;Nie;Zdecydowanie tak;Często;Często;Rzadko;Czasami;Nigdy;Często;Rzadko;Rzadko;Często;Bardzo czesto;Czasami;Rzadko;Często;Czasami;Nigdy;Często;Często;Czasami;Rzadko;Rzadko;Rzadko;Często;Często;Rzadko;Często;Nigdy;Nigdy;Rzadko;Czasami;Rzadko;2.66666666666667;2.42857142857143;2.86666666666667;5.66666666666667;3.4;2.2
110;Kobieta;21;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Inne;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Tak;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Zdecydowanie tak;Tak;Raczej nie;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Rzadko;Często;Rzadko;Rzadko;Rzadko;Rzadko;Często;Czasami;Czasami;Czasami;Często;Często;Rzadko;Czasami;Czasami;Często;Rzadko;Często;Rzadko;Rzadko;Często;Rzadko;Rzadko;Często;Rzadko;Czasami;Rzadko;Często;Rzadko;Czasami;2;1.85714285714286;4.53333333333333;4.66666666666667;2.6;3.06666666666667
111;Kobieta;21;Średnie ogólne;Wieś;Tak;Katolicyzm;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Rzadko;Rzadko;Rzadko;Często;Nigdy;Czasami;Nigdy;Czasami;Bardzo czesto;Czasami;Bardzo czesto;Czasami;Czasami;Czasami;Czasami;Bardzo czesto;Często;Czasami;Rzadko;Nigdy;Czasami;Nigdy;Rzadko;Czasami;Nigdy;Rzadko;Rzadko;Rzadko;Często;Czasami;3;2.71428571428571;4.6;6.2;2.8;2.6
118;Mężczyzna;21;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej tak;Raczej nie;Raczej tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Raczej tak;Rzadko;Rzadko;Nigdy;Często;Czasami;Rzadko;Rzadko;Nigdy;Rzadko;Rzadko;Rzadko;Nigdy;Nigdy;Rzadko;Czasami;Nigdy;Nigdy;Rzadko;Nigdy;Rzadko;Rzadko;Nigdy;Rzadko;Rzadko;Nigdy;Rzadko;Rzadko;Czasami;Często;Czasami;1;1.85714285714286;4.66666666666667;4.46666666666667;1.8;2.13333333333333
138;Kobieta;21;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Tak;Zdecydowanie tak;Raczej tak;Raczej tak;Tak;Raczej tak;Raczej tak;Tak;Tak;Zdecydowanie tak;Raczej tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Rzadko;Rzadko;Rzadko;Często;Rzadko;Rzadko;Często;Czasami;Czasami;Często;Często;Często;Rzadko;Czasami;Często;Bardzo czesto;Czasami;Często;Czasami;Rzadko;Bardzo czesto;Rzadko;Czasami;Często;Często;Nigdy;Czasami;Często;Rzadko;Często;3.11111111111111;1.21428571428571;5.13333333333333;5.8;2.86666666666667;3.4
144;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej nie;Raczej nie;Raczej tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Raczej nie;Raczej tak;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie tak;Raczej tak;Nie;Raczej tak;Raczej tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Zdecydowanie tak;Tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Tak;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie nie;Tak;Tak;Raczej tak;Tak;Nie;Raczej tak;Tak;Raczej nie;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie tak;Czasami;Często;Często;Czasami;Rzadko;Często;Rzadko;Rzadko;Czasami;Często;Często;Czasami;Rzadko;Często;Rzadko;Często;Czasami;Bardzo czesto;Rzadko;Rzadko;Często;Rzadko;Często;Czasami;Czasami;Rzadko;Czasami;Nigdy;Czasami;Czasami;2.66666666666667;1.57142857142857;3.33333333333333;6;3.13333333333333;2.86666666666667
145;Kobieta;21;Wyższe (licencjat, magisterium);Wieś;Nie;Nie wierzący;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie tak;Raczej nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Nie;Zdecydowanie nie;Zdecydowanie nie;Nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Nie;Zdecydowanie nie;Zdecydowanie nie;Nie;Raczej nie;Często;Bardzo czesto;Bardzo czesto;Często;Czasami;Rzadko;Nigdy;Nigdy;Rzadko;Czasami;Często;Bardzo czesto;Bardzo czesto;Często;Czasami;Rzadko;Nigdy;Nigdy;Rzadko;Czasami;Często;Bardzo czesto;Bardzo czesto;Często;Czasami;Rzadko;Nigdy;Nigdy;Rzadko;Czasami;2.66666666666667;2.64285714285714;3.66666666666667;4.13333333333333;3;3
148;Kobieta;21;Średnie ogólne;Duże miasto (powyżej 50 tyś. mieszkańców);Nie;Nie wierzący;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Tak;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Raczej tak;Nie;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Tak;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Tak;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Tak;Raczej nie;Raczej tak;Raczej tak;Nigdy;Czasami;Często;Często;Nigdy;Nigdy;Bardzo czesto;Bardzo czesto;Rzadko;Nigdy;Bardzo czesto;Nigdy;Nigdy;Nigdy;Często;Nigdy;Nigdy;Nigdy;Często;Czasami;Często;Nigdy;Nigdy;Nigdy;Nigdy;Nigdy;Często;Bardzo czesto;Rzadko;Często;1;1.14285714285714;5.33333333333333;4.73333333333333;1.13333333333333;3.73333333333333
149;Mężczyzna;21;Średnie ogólne;Małe miasto (5-10 tyś. mieszkańców);Nie;Nie wierzący;Raczej nie;Zdecydowanie nie;Raczej nie;Zdecydowanie tak;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej tak;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Tak;Tak;Zdecydowanie nie;Tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej nie;Tak;Zdecydowanie tak;Tak;Zdecydowanie nie;Tak;Zdecydowanie tak;Tak;Zdecydowanie nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie nie;Rzadko;Bardzo czesto;Nigdy;Czasami;Nigdy;Bardzo czesto;Czasami;Rzadko;Często;Rzadko;Często;Nigdy;Nigdy;Nigdy;Nigdy;Często;Rzadko;Rzadko;Nigdy;Nigdy;Czasami;Bardzo czesto;Nigdy;Często;Rzadko;Nigdy;Często;Rzadko;Nigdy;Często;1.66666666666667;1.71428571428571;4.8;5;2.26666666666667;2.6
150;Kobieta;21;Średnie ogólne;Wieś;Tak;Katolicyzm;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Zdecydowanie nie;Raczej nie;Raczej tak;Raczej tak;Raczej tak;Raczej nie;Raczej nie;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Raczej nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Zdecydowanie nie;Zdecydowanie nie;Raczej nie;Raczej tak;Nie;Zdecydowanie nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Raczej tak;Nie;Nie;Raczej nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej nie;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Trudno powiedzieć, trochę tak, trochę nie;Nie;Trudno powiedzieć, trochę tak, trochę nie;Bardzo czesto;Rzadko;Nigdy;Rzadko;Rzadko;Często;Rzadko;Rzadko;Często;Czasami;Rzadko;Nigdy;Często;Rzadko;Rzadko;Bardzo czesto;Często;Często;Rzadko;Nigdy;Czasami;Czasami;Czasami;Rzadko;Często;Rzadko;Rzadko;Rzadko;Często;Rzadko;3;2.07142857142857;4;3.93333333333333;3.46666666666667;1.93333333333333
162;Mężczyzna;21;Średnie ogólne;Średnie miasto (do 50 tyś. mieszkańców);Tak;Katolicyzm;Raczej tak;Raczej tak;Raczej nie;Raczej tak;Raczej nie;Zdecydowanie nie;Raczej tak;Raczej tak;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Zdecydowanie nie;Raczej nie;Raczej nie;Zdecydowanie nie;Raczej tak;Zdecydowanie tak;Raczej tak;Raczej tak;Zdecydowanie tak;Raczej nie;Tak;Tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Trudno powiedzieć, trochę tak, trochę nie;Tak;Tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Trudno powiedzieć, trochę tak, trochę nie;Zdecydowanie tak;Zdecydowanie tak;Raczej tak;Zdecydowanie tak;Raczej tak;Tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Zdecydowanie tak;Tak;Raczej tak;Raczej tak;Często;Często;Czasami;Bardzo czesto;Często;Rzadko;Bardzo czesto;Często;Rzadko;Bardzo czesto;Bardzo czesto;Często;Bardzo czesto;Często;Bardzo czesto;Nigdy;Bardzo czesto;Rzadko;Często;Bardzo czesto;Bardzo czesto;Rzadko;Często;Bardzo czesto;Rzadko;Nigdy;Czasami;Często;Bardzo czesto;Bardzo czesto;2.33333333333333;2.78571428571429;6.2;5.93333333333333;3.2;4.4
